Date,Open,High,Low,Close,Adj Close,Volume
2021-03-23,4.300000,4.330000,3.970000,3.995000,3.995000,4727100
2021-03-24,4.100000,4.123000,3.800000,3.800000,3.800000,4940200
2021-03-25,3.800000,4.188000,3.760000,4.140000,4.140000,5129100
2021-03-26,4.220000,4.240000,3.750000,3.850000,3.850000,4912500
2021-03-29,3.730000,3.800000,3.550000,3.590000,3.590000,6916500
2021-03-30,3.610000,3.700000,3.510000,3.580000,3.580000,2388400
2021-03-31,3.690000,3.960000,3.615000,3.890000,3.890000,2852300
2021-04-01,3.905000,4.050000,3.820000,3.950000,3.950000,4046800
2021-04-05,3.970000,4.165000,3.950000,4.150000,4.150000,3236000
2021-04-06,4.100000,4.150000,3.825000,3.860000,3.860000,2638400
2021-04-07,3.830000,3.900000,3.750000,3.760000,3.760000,1699700
2021-04-08,3.790000,3.900000,3.775000,3.850000,3.850000,1203000
2021-04-09,3.850000,3.870000,3.655000,3.660000,3.660000,1927300
2021-04-12,3.670000,3.780000,3.595000,3.680000,3.680000,2826500
2021-04-13,3.670000,3.710000,3.530000,3.620000,3.620000,3250600
2021-04-14,3.600000,3.920000,3.600000,3.900000,3.900000,3758300
2021-04-15,3.880000,3.960000,3.820000,3.940000,3.940000,1980300
